repo,pr_number,review_id,reviewer,state,submitted_at,body
apache/airflow,60507,3845363932,amoghrajesh,CHANGES_REQUESTED,2026-02-24T06:14:45Z,"Can you please validate it, it makes no difference

<img width=""1670"" height=""237"" alt=""Image"" src=""https://github.com/user-attachments/assets/5c112e53-25e3-4e39-acab-1f8085a081c9"" />"
apache/airflow,60507,3973782417,eladkal,APPROVED,2026-03-19T09:17:12Z,
apache/airflow,60507,4092187107,copilot-pull-request-reviewer[bot],COMMENTED,2026-04-10T19:57:21Z,"## Pull request overview

> [!NOTE]
> Copilot was unable to run its full agentic suite in this review.

Fixes broken cross-references in the templates reference documentation by using explicit Python-domain roles so class references render as clickable links (including inside table contexts).

**Changes:**
- Replaced `:class:` roles with `:py:class:` for Airflow model and SDK references in tables.
- Updated standard-library references in the macros section to use `:py:class:`.


<details>
<summary>Comments suppressed due to low confidence (1)</summary>

**airflow-core/docs/templates-ref.rst:1**
* These two rows appear to be missing the `|` separator before the Description column (unlike surrounding rows such as `prev_data_interval_*_success`), which can break the table layout and/or cause the description to be parsed as part of the Type column. Align the formatting with adjacent entries by adding the column separator after `pendulum.DateTime`_ (and ensure continuation lines keep the same column structure).
```
 .. Licensed to the Apache Software Foundation (ASF) under one
```
</details>

"
apache/airflow,62918,3969734857,ferruzzi,COMMENTED,2026-03-18T17:49:06Z,
apache/airflow,62918,4018427266,shivaam,COMMENTED,2026-03-27T02:02:09Z,
apache/airflow,62918,4058173669,YoannAbriel,COMMENTED,2026-04-04T06:07:10Z,
apache/airflow,62918,4058173791,YoannAbriel,COMMENTED,2026-04-04T06:07:13Z,
apache/airflow,62918,4058173848,YoannAbriel,COMMENTED,2026-04-04T06:07:14Z,
apache/airflow,62918,4092200576,copilot-pull-request-reviewer[bot],COMMENTED,2026-04-10T20:00:08Z,"## Pull request overview

Fixes a scheduler-side cleanup bug where DagRun deadline alerts could still fire after a DagRun had already failed, by ensuring deadlines are pruned whenever the DagRun reaches a terminal state.

**Changes:**
- Move `Deadline.prune_deadlines()` invocation from the success-only branch to the shared terminal-state block (SUCCESS/FAILED).
- Add a unit test asserting DagRun deadline pruning also occurs on failure.

### Reviewed changes

Copilot reviewed 2 out of 2 changed files in this pull request and generated 2 comments.

| File | Description |
| ---- | ----------- |
| airflow-core/src/airflow/models/dagrun.py | Prunes pending DagRun deadlines when a DagRun finishes (FAILED or SUCCESS) so alerts don’t trigger after completion. |
| airflow-core/tests/unit/models/test_dagrun.py | Adds a regression test covering deadline pruning for failed DagRuns. |



"
apache/airflow,62918,4276569485,ferruzzi,COMMENTED,2026-05-12T22:05:42Z,
apache/airflow,63368,3950431314,SameerMesiah97,COMMENTED,2026-03-15T18:19:41Z,Needs some adjustments. Please see my comments. 
apache/airflow,63368,3964015708,YoannAbriel,COMMENTED,2026-03-17T22:11:51Z,
apache/airflow,63368,3964016137,YoannAbriel,COMMENTED,2026-03-17T22:11:59Z,
apache/airflow,63368,4092187713,copilot-pull-request-reviewer[bot],COMMENTED,2026-04-10T19:57:29Z,"## Pull request overview

> [!NOTE]
> Copilot was unable to run its full agentic suite in this review.

Improves debuggability of `ServerResponseError` by ensuring its string representation includes server-provided error details when available, so tracebacks/logs retain actionable context.

**Changes:**
- Override `ServerResponseError.__str__()` to append `detail` to the base message.
- Add unit tests covering `__str__()` behavior with dict detail, string detail, and missing `detail` attribute.

### Reviewed changes

Copilot reviewed 2 out of 2 changed files in this pull request and generated 2 comments.

| File | Description |
| ---- | ----------- |
| task-sdk/src/airflow/sdk/api/client.py | Adds `__str__()` override to include `detail` in the exception string. |
| task-sdk/tests/task_sdk/api/test_client.py | Adds tests validating the new `__str__()` behavior across detail variants. |



"
apache/airflow,63499,3954243593,vincbeck,COMMENTED,2026-03-16T14:25:59Z,
apache/airflow,63499,3954632698,vincbeck,COMMENTED,2026-03-16T15:21:21Z,
apache/airflow,63499,4092195622,copilot-pull-request-reviewer[bot],COMMENTED,2026-04-10T19:59:01Z,"## Pull request overview

This PR adds a configuration switch to `S3Hook` intended to let users disable hook-level lineage emission (motivated by large numbers of per-object assets when uploading many files).

**Changes:**
- Adds an `enable_hook_level_lineage` flag on `S3Hook` and gates some `get_hook_lineage_collector()` usage behind it.
- Adds unit tests covering default/explicit values and `load_string()` lineage behavior.

### Reviewed changes

Copilot reviewed 2 out of 2 changed files in this pull request and generated 5 comments.

| File | Description |
| ---- | ----------- |
| `providers/amazon/src/airflow/providers/amazon/aws/hooks/s3.py` | Introduces the `enable_hook_level_lineage` flag and conditionally skips some lineage emission calls. |
| `providers/amazon/tests/unit/amazon/aws/hooks/test_s3.py` | Adds tests for the new flag and for lineage behavior in `load_string()`. |



"
apache/airflow,63499,4496441838,kacpermuda,COMMENTED,2026-06-15T10:15:32Z,
apache/airflow,63797,4047790008,copilot-pull-request-reviewer[bot],COMMENTED,2026-04-02T00:50:58Z,"## Pull request overview

This PR aims to prevent MySQL migration failures in migration `0101_3_2_0_ui_improvements_for_deadlines` by adding a temporary index intended to avoid MySQL `filesort` / `sort_buffer_size` exhaustion during pagination over `serialized_dag`.

**Changes:**
- Adds MySQL-only `CREATE INDEX ... ON serialized_dag (dag_id)` before the upgrade migration batching loop and drops it after.
- Adds the same temporary index create/drop around the downgrade batching loop.
- Updates comments describing the MySQL subquery approach.



"
